level	seq	type	sourceIndex	text
기초	1	story	1	In the morning, Mina was in the park with her red ball. A small bird sat on the ball with a blue letter in the mouth of the bird.
기초	2	vocab	1	A family at the park had seen the bird. Mina read: “A happy baby waves at us.” A note beside it said: “The boy reads a book quietly.” Another line read: “The child builds a tall tower.” Someone nearby said: “Her family lives near the park.” The next message said: “A girl waits for the school bus.” A voice from the page added: “The teacher speaks with each parent.” Farther down, Mina found: “My father cooks dinner tonight.” Another clue read: “My grandfather tells funny stories.” The page continued: “My grandmother bakes warm bread.” A small note said: “My daughter enjoys drawing animals.” The next line said: “The lesson begins with a short story.” One final message read: “Her mother works at the library.” Mina read: “Spring is my favorite season.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	3	phrasal	1	Mina and the bird went on to the next place. The first account said: Mina woke up a few minutes before her alarm. Another message read: I'll try to talk him round. A second source added: I haven't seen her around here. One more note said: You really need a car to get about here. The last account in the group read: Hotels are closing down all over the country. Mina kept the messages in mind and went on with the bird.
기초	4	vocab	2	In a quiet room, the map made a new picture. Someone nearby said: “My bag holds two books.” The next message said: “The bed has a warm blanket.” A voice from the page added: “My clothes are clean and dry.” Farther down, Mina found: “Please close the door quietly.” Another clue read: “Their house has a green roof.” The page continued: “This chair is comfortable.” A small note said: “We wash the cups in the kitchen.” The next line said: “We keep our room clean.” One final message read: “The books are on the table.” Mina read: “The bathroom has a clean sink.” A note beside it said: “The newspaper has a weather report.” Another line read: “The bakery sells warm bread.” Someone nearby said: “The teacher checks our homework.” The next message said: “We visit the beach during vacation.” The picture ended, but a red line was on the map. Mina went on.
기초	5	phrasal	2	At the next turn, Mina found people who had seen the blue mark. The first account said: I’m sorry, but I had no one else to turn to. Another message read: Is it ok if I drop the documents off later? A second source added: After several stops, we finished up at the station. One more note said: I tripped up on a couple of questions. The last account in the group read: He planned to camp out in the wild. The clues showed the way, so Mina and the bird went on.
기초	6	vocab	3	The red line ended at a house, and Mina went in. Farther down, Mina found: “A carrot is a healthy vegetable.” Another clue read: “We show each visitor around the school.” The page continued: “Rain runs down the window.” A small note said: “My bedroom has a small desk.” Mina read the map and found the road.
기초	7	phrasal	3	The bird stopped, and Mina listened for the next clue. The first account said: This cold is really slowing me down. Another message read: He quickly spied out the waiter. A second source added: I began to pace about and think over my options. One more note said: Can you see about getting us a lift home? The last account in the group read: I’m completely done in after all that running around. Mina marked the place on the map and kept walking.
기초	8	vocab	4	Mina sat at a table, but the red line did not end there. A small note said: “Mina puts an apple in her lunch box.” The next line said: “We share bread with our soup.” One final message read: “The cake has red fruit on top.” Mina read: “I pour milk into the glass.” A note beside it said: “We put fruit in the blue bowl.” Another line read: “I drink water.” Someone nearby said: “We eat bread.” The next message said: “I feed the cat.” A voice from the page added: “That is a great idea.” Farther down, Mina found: “The coffee smells warm and rich.” Another clue read: “The price is written on the ticket.” The page continued: “The weather is warm and sunny today.” A small note said: “I beat my brother at chess.” The bird was ready, and Mina took the map.
기초	9	phrasal	4	A little farther on, Mina and the bird came to a new place. The first account said: Alex has decided to go into nursing. Another message read: I don’t believe in miracles. A second source added: Ticket prices may go down next month. One more note said: He came on as a substitute. The last account in the group read: You’re always running me down! The bird went ahead, and Mina followed it down the road.
기초	10	vocab	5	In a class, Mina opened the map and read a new line. Mina read: “Our class begins at nine.” A note beside it said: “I write a letter to my aunt.” Another line read: “My notebook is inside the desk.” Someone nearby said: “My notebook has a blue cover.” The next message said: “We visit the bookstore after school.” A voice from the page added: “I learn new words.” Farther down, Mina found: “I teach a song.” Mina looked at the picture. The blue letter was there, and she made a new plan.
